Institute code,College Name,,College Infrastucture,Academics,Placements,Value for Money,Campus Life,College Infrastucture,Academics,Placements,Value for Money,Campus Life,Avg_College Infrastucture,Avg_Academics,Avg_Placements,Avg_Value for Money,Avg_Campus Life
3187,"Datta Meghe College of Engineering, Navi Mumbai ",,3.2,3.5,3.1,1.6,3.2,3.1,3.1,3.2,3.2,3.6,3.15,3.3,3.15,2.4,3.4
3209,"KJ Somaiya Institute of Engineering and Information Technology, Mumbai ",,3.9,3.8,3.7,3.4,4,4.3,4.3,4.1,4,4.3,4.1,4.05,3.9,3.7,4.15
3181,"KJ Somaiya College of Engineering, Mumbai ",,4,3.5,3.8,1.7,4.1,4.3,4.4,4,3.9,3.8,4.15,3.95,3.9,2.8,3.95
3208,"Don Bosco Institute of Technology, Mumbai ",,3.2,3.5,4.3,2.9,4.1,3.3,4.2,4.5,4.5,3.6,3.25,3.85,4.4,3.7,3.85
3012,"Veermata Jijabai Technological Institute, Mumbai ",,3.8,3.7,3.5,2.5,3.9,3.8,4,3.1,3.6,3.7,3.8,3.85,3.3,3.05,3.8
3174,"Ramrao Adik Institute of Technology, Navi Mumbai ",,4.4,4,4.3,3.2,4.6,4.5,4.6,4.2,4.1,3.8,4.45,4.3,4.25,3.65,4.2
3185,"Vivekanand Education Society's Institute of Technology, Chembur ",,3.6,3.3,3.8,2.5,3.5,4.2,4.1,4,4,3.8,3.9,3.7,3.9,3.25,3.65
3176,"Thakur College of Engineering and Technology, Mumbai ",,4.6,3.8,3.9,0.7,4.1,4.6,4.2,4,3.9,3.9,4.6,4,3.95,2.3,4
3199,"Dwarkadas J Sanghvi College of Engineering, Mumbai ",,4,3.8,3.8,2.5,3.9,4.3,4.4,4,4,3.9,4.15,4.1,3.9,3.25,3.9
3190,"Terna Public Charitable Trust's Terna Engineering College, Navi Mumbai ",,3.3,3,3,1.8,3.2,3.9,3.7,3.5,3.8,3.5,3.6,3.35,3.25,2.8,3.35
3193,"Shivajirao S Jondhale College of Engineering, Thane ",,1.8,1.9,1.5,0.1,1.4,3.3,3.3,2.4,3,3.5,2.55,2.6,1.95,1.55,2.45
3203,"Atharva College of Engineering, Malad ",,4.2,3.1,3.5,1.3,4,4.4,4.2,3.3,4.1,3.5,4.3,3.65,3.4,2.7,3.75
3475,"AP Shah Institute of Technology, Thane ",,4.6,4.8,4.4,4.5,4.6,4.5,4.3,4.2,4.7,4.6,4.55,4.55,4.3,4.6,4.6
3201,"Rizvi College of Engineering, Bandra ",,2.8,3,2.9,0.9,3.2,3.3,3.6,2.8,3.9,3.3,3.05,3.3,2.85,2.4,3.25
3183,"MH Saboo Siddik College of Engineering, Mumbai ",,2.5,2.5,2.2,0.9,2.6,3.3,3.5,3.4,3.5,4,2.9,3,2.8,2.2,3.3
3196,"Lokmanya Tilak College of Engineering, Navi Mumbai ",,2.4,2.3,1.8,1.1,2.3,3.8,3.7,3.1,3.1,3.6,3.1,3,2.45,2.1,2.95
3192,"Smt Indira Gandhi College of Engineering, Navi Mumbai ",,2.8,3.3,2,2.1,3.7,3.9,3.4,2.4,3.1,3.5,3.35,3.35,2.2,2.6,3.6
3176,"Thadomal Shahani Engineering College, Mumbai ",,3.2,3.6,4.1,2.1,4.2,3.3,4.5,4.2,3.6,3.5,3.25,4.05,4.15,2.85,3.85
3014,"Sardar Patel College of Engineering, Mumbai ",,3.8,4,4.1,2.2,4,3.9,4.4,4.1,4.3,4.2,3.85,4.2,4.1,3.25,4.1
3214,"Xavier Institute of Engineering, Mumbai ",,3.5,3.4,3.3,0.8,3,4.6,4.8,4.6,4,4.6,4.05,4.1,3.95,2.4,3.8
3139,"Vidyalankar Institute of Technology, Mumbai ",,4.6,4,3.7,2.7,4.2,4.8,4.3,3.9,4.2,4.3,4.7,4.15,3.8,3.45,4.25
3210,"KC College of Engineering and Management Studies and Research, Thane ",,4.2,4.2,3.8,4,4.8,3,3,2.8,2.7,3.5,3.6,3.6,3.3,3.35,4.15
3189,"Bharati Vidyapeeth College of Engineering, Navi Mumbai ",,3.5,2.8,3,1,3.2,3.8,3.8,3.4,3.6,3.9,3.65,3.3,3.2,2.3,3.55
3154,"Saraswati College of Engineering, Navi Mumbai ",,4.1,4.1,3.6,3.3,4.3,3.9,3.9,3.6,3.7,4.1,4,4,3.6,3.5,4.2
3204,"St Francis Institute of Technology, Mumbai ",,3.5,3.6,3.5,1.6,3.8,3.7,4,3.8,3.9,3.8,3.6,3.8,3.65,2.75,3.8
3211,"SIES Graduate School of Technology, Navi Mumbai ",,3.6,3.3,3,2.1,3.4,3.6,4,3.5,3.5,3.7,3.6,3.65,3.25,2.8,3.55
3188,"Padmabhushan Vasantdada Patil Pratishthan's College of Engineering, Mumbai ",,3.4,3.6,3.3,3.5,3.8,3.4,3.6,3.3,3.3,3.8,3.4,3.6,3.3,3.4,3.8
3135,"MCTs Rajiv Gandhi Institute of Technology, Mumbai ",,3.7,3.3,3,1.9,3.7,3.4,3.8,2.9,3.3,3.3,3.55,3.55,2.95,2.6,3.5
3184,"Fr C Rodrigues Institute of Technology, Navi Mumbai ",,3.8,3.8,3.6,3.3,3.2,3.9,4.1,3.9,4.1,4.1,3.85,3.95,3.75,3.7,3.65
3207,"Pillai College of Engineering, New Panvel",,4.1,3.8,3.3,3.1,4,4.4,4.4,3.5,3.9,3.9,4.25,4.1,3.4,3.5,3.95
3036,"Institute of Chemical Technology, Mumbai",,4.5,4.2,3.9,2.5,4.3,4.4,4.6,4.1,4.6,4.3,4.45,4.4,4,3.55,4.3
